UID          PID    PPID  C STIME TTY          TIME CMD
root         136       2  0 Sep20 ?        00:00:00 [kworker/8:1H-kblockd]
root         137       2  0 Sep20 ?        00:00:00 [kswapd0]
root         139       2  0 Sep20 ?        00:00:00 [kthrotld]
root         140       2  0 Sep20 ?        00:00:00 [irq/123-pciehp]
root         141       2  0 Sep20 ?        00:00:02 [irq/128-pciehp]
root         143       2  0 Sep20 ?        00:00:00 [acpi_thermal_pm]
root         144       2  0 Sep20 ?        00:00:00 [nvme-wq]
root         145       2  0 Sep20 ?        00:00:00 [nvme-reset-wq]
root         146       2  0 Sep20 ?        00:00:00 [nvme-delete-wq]
root         149       2  0 Sep20 ?        00:00:00 [scsi_eh_0]
root         150       2  0 Sep20 ?        00:00:00 [scsi_tmf_0]
root         151       2  0 Sep20 ?        00:00:00 [scsi_eh_1]
root         152       2  0 Sep20 ?        00:00:00 [scsi_tmf_1]
root         153       2  0 Sep20 ?        00:00:00 [scsi_eh_2]
root         154       2  0 Sep20 ?        00:00:00 [scsi_tmf_2]
root         165       2  0 Sep20 ?        00:00:00 [ipv6_addrconf]
root         171       2  0 Sep20 ?        00:00:00 [kworker/4:1H-kblockd]
root         172       2  0 Sep20 ?        00:00:00 [kworker/1:1H-kblockd]
root         177       2  0 Sep20 ?        00:00:00 [kstrp]
root         182       2  0 Sep20 ?        00:00:00 [zswap1]
root         183       2  0 Sep20 ?        00:00:00 [zswap1]
root         184       2  0 Sep20 ?        00:00:00 [zswap-shrink]
root         187       2  0 Sep20 ?        00:00:00 [charger_manager]
root         210       2  0 Sep20 ?        00:00:00 [kworker/6:1H-kblockd]
root         213       2  0 Sep20 ?        00:00:00 [kworker/9:1H-events_highpri]
root         219       2  0 Sep20 ?        00:00:00 [kworker/10:1H-events_highpri]
root         229       2  0 Sep20 ?        00:00:06 [jbd2/nvme0n1p2-]
root         230       2  0 Sep20 ?        00:00:00 [ext4-rsv-conver]
root         267       1  0 Sep20 ?        00:00:02 /usr/lib/systemd/systemd-journald
root         274       2  0 Sep20 ?        00:00:00 [kworker/5:1H-kblockd]
root         279       2  0 Sep20 ?        00:00:00 [kworker/11:1H-events_highpri]
root         283       2  0 Sep20 ?        00:00:00 [kworker/7:1H-events_highpri]
root         286       1  0 Sep20 ?        00:00:03 /usr/lib/systemd/systemd-udevd
root         330       2  0 Sep20 ?        00:00:00 [tpm_dev_wq]
root         331       2  0 Sep20 ?        00:00:00 [irq/67-smo8800]
root         344       2  0 Sep20 ?        00:00:00 [kworker/3:1H-kblockd]
root         399       2  0 Sep20 ?        00:00:00 [kworker/2:1H-kblockd]
root         433       2  0 Sep20 ?        00:00:00 [cfg80211]
root         440       2  0 Sep20 ?        00:00:00 [cryptd]
root         458       2  0 Sep20 ?        00:00:09 [irq/165-iwlwifi]
root         459       2  0 Sep20 ?        00:00:00 [irq/166-iwlwifi]
root         460       2  0 Sep20 ?        00:00:00 [irq/167-iwlwifi]
root         461       2  0 Sep20 ?        00:00:00 [irq/168-iwlwifi]
root         462       2  0 Sep20 ?        00:00:08 [irq/169-iwlwifi]
root         463       2  0 Sep20 ?        00:00:00 [irq/170-iwlwifi]
root         464       2  0 Sep20 ?        00:00:00 [irq/171-iwlwifi]
root         465       2  0 Sep20 ?        00:00:00 [irq/172-iwlwifi]
root         466       2  0 Sep20 ?        00:00:04 [irq/173-iwlwifi]
